Acc_Num;Species_TaxID;Genus_TaxID;Family_TaxID;Order_TaxID;Class_TaxID;Phylum_TaxID
CP001976;1773;1763;1762;85007;1760;201174
CP001992;2051;2050;2049;2037;1760;201174
CP002000;33910;1813;2070;85010;1760;201174
CP002095;1773;1763;1762;85007;1760;201174
CP002097;1719;1716;1653;85007;1760;201174
CP002104;2702;2701;31953;85004;1760;201174
CP002106;133926;133925;1643824;84999;84998;201174
CP002220;1681;1678;31953;85004;1760;201174
CP002275;1767;1763;1762;85007;1760;201174
CP002280;2047;32207;1268;85006;1760;201174
CP002286;216816;1678;31953;85004;1760;201174
CP002299;298654;1854;74712;85013;1760;201174
CP002329;875328;1073531;1762;85007;1760;201174
CP002385;1804;1866885;1762;85007;1760;201174
CP002567;28025;1678;31953;85004;1760;201174
CP002593;240495;1847;2070;85010;1760;201174
CP002638;1003110;84593;28056;85008;1760;201174
CP002665;11;1707;85016;85006;1760;201174
CP002725;2702;2701;31953;85004;1760;201174
CP002743;1685;1678;31953;85004;1760;201174
CP002786;639313;697025;1762;85007;1760;201174
CP002791;65058;1716;1653;85007;1760;201174
CP002794;216816;1678;31953;85004;1760;201174
CP002907;337191;2053;85026;85007;1760;201174
CP002917;1727;1716;1653;85007;1760;201174
CP002992;1773;1763;1762;85007;1760;201174
CP002993;862751;1883;2062;85011;1760;201174
CP002994;68280;1883;2062;85011;1760;201174
CP003039;28025;1678;31953;85004;1760;201174
CP003053;1800;1866885;1762;85007;1760;201174
CP003061;1719;1716;1653;85007;1760;201174
CP003084;1747;1912216;31957;85009;1760;201174
CP003119;84595;2053;85026;85007;1760;201174
CP003152;1719;1716;1653;85007;1760;201174
CP003169;36814;1866885;1762;85007;1760;201174
CP003195;1747;1912216;31957;85009;1760;201174
CP003196;1747;1912216;31957;85009;1760;201174
CP003197;1747;1912216;31957;85009;1760;201174
CP003203;1118963;1663;1268;85006;1760;201174
CP003211;1717;1716;1653;85007;1760;201174
CP003213;1717;1716;1653;85007;1760;201174
CP003214;1717;1716;1653;85007;1760;201174
CP003215;1717;1716;1653;85007;1760;201174
CP003219;29303;1883;2062;85011;1760;201174
CP003233;1773;1763;1762;85007;1760;201174
CP003293;1747;1912216;31957;85009;1760;201174
CP003322;1767;1763;1762;85007;1760;201174
CP003323;1767;1763;1762;85007;1760;201174
CP003324;1138383;1763;1762;85007;1760;201174
CP003421;1719;1716;1653;85007;1760;201174
CP003497;28025;1678;31953;85004;1760;201174
CP003652;1719;1716;1653;85007;1760;201174
CP003697;225326;1716;1653;85007;1760;201174
CP003699;36809;670516;1762;85007;1760;201174
CP003720;1912;1883;2062;85011;1760;201174
CP003788;53437;2013;83676;85012;1760;201174
CP003877;1747;1912216;31957;85009;1760;201174
CP003900;1773;1763;1762;85007;1760;201174
CP003990;1265601;1883;2062;85011;1760;201174
CP004085;43771;1716;1653;85007;1760;201174
CP004346;33905;1678;31953;85004;1760;201174
CP004886;1773;1763;1762;85007;1760;201174
CP005082;1773;1763;1762;85007;1760;201174
CP005287;33010;1912216;31957;85009;1760;201174
CP005386;1773;1763;1762;85007;1760;201174
CP005928;1764;1763;1762;85007;1760;201174
CP005929;649831;1865;28056;85008;1760;201174
CT573213;1859;1854;74712;85013;1760;201174
CU458896;36809;670516;1762;85007;1760;201174
FM211192;1769;1763;1762;85007;1760;201174
FN563149;43767;1827;85025;85007;1760;201174
FN806773;1744;1743;31957;85009;1760;201174
FO203431;477641;88138;85030;1643682;1760;201174
FO203507;78331;1763;1762;85007;1760;201174
FO203509;78331;1763;1762;85007;1760;201174
FP929034;216816;1678;31953;85004;1760;201174
FP929047;471189;644652;1643826;1643822;84998;201174
FQ311875;256701;1742989;1268;85006;1760;201174
FR878060;1773;1763;1762;85007;1760;201174
HE572590;78331;1763;1762;85007;1760;201174
HE608151;1773;1763;1762;85007;1760;201174
HE802067;1718;1716;1653;85007;1760;201174
HE971709;348043;1883;2062;85011;1760;201174
AP006841;817;816;815;171549;200643;976
CP000383;985;978;89373;768507;768503;976
CP001673;;531844;49546;200644;117743;976
CP001681;984;84567;84566;200666;117747;976
CP001699;79329;79328;563835;1853229;1853228;976
CP001807;;29549;29548;563843;1100069;976
CP002006;839;838;171552;171549;200643;976
CP002122;28132;838;171552;171549;200643;976
CP002123;28132;838;171552;171549;200643;976
CP002305;316068;319458;89373;768507;768503;976
CP002352;290053;816;815;171549;200643;976
CP002453;59600;104264;49546;200644;117743;976
CP002455;1014;1013;49546;200644;117743;976
CP002528;983548;326319;49546;200644;117743;976
CP002530;376805;816;815;171549;200643;976
CP002534;979;104264;49546;200644;117743;976
CP002542;191579;332102;1853230;200644;117743;976
CP002544;28118;283168;1853231;171549;200643;976
CP002545;151895;1649482;84566;200666;117747;976
CP002589;28129;838;171552;171549;200643;976
CP002691;2350;2349;1937961;1936988;1937959;976
CP002859;106;105;89373;768507;768503;976
CP002955;104;68288;563798;768507;768503;976
CP003280;101385;153265;49546;200644;117743;976
CP003283;28251;28250;49546;200644;117743;976
CP003346;390884;390846;563798;768507;768503;976
CP003349;995;929509;84566;200666;117747;976
CP003388;34085;34084;49546;200644;117743;976
CP003787;34085;34084;49546;200644;117743;976
CP003879;57029;83612;49546;200644;117743;976
CR626927;817;816;815;171549;200643;976
CU207366;411153;292691;49546;200644;117743;976
FP929032;328814;239759;171550;171549;200643;976
FQ312004;817;816;815;171549;200643;976
FQ859183;55197;237;49546;200644;117743;976
HE774682;312277;237;49546;200644;117743;976
AE006470;1097;256319;191412;191411;191410;1090
CP000096;1100;1099;191412;191411;191410;1090
CP000108;337090;1091;191412;191411;191410;1090
CP000492;1096;1091;191412;191411;191410;1090
CP000607;1094;1091;191412;191411;191410;1090
CP001097;1092;1091;191412;191411;191410;1090
CP001099;274539;256319;191412;191411;191410;1090
CP001100;100716;100715;191412;191411;191410;1090
CP001101;1096;1091;191412;191411;191410;1090
CP001108;1102;1101;191412;191411;191410;1090
CP001110;34090;1099;191412;191411;191410;1090
AJ965256;61435;61434;1202464;1202465;301297;200795
AP012029;167964;233189;292628;292629;292625;200795
AP012337;133453;233191;475964;475963;475962;200795
CP000027;61435;61434;1202464;1202465;301297;200795
CP000686;357808;120961;1508635;32064;32061;200795
CP000688;61435;61434;1202464;1202465;301297;200795
CP000804;120962;120961;1508635;32064;32061;200795
CP000875;65;64;189773;189772;32061;200795
CP000909;1108;1107;1106;32064;32061;200795
CP001275;500;499;189777;189776;189775;200795
CP001337;152260;1107;1106;32064;32061;200795
CP001364;1108;1107;1106;32064;32061;200795
CP001823;2057;2056;85002;85001;189775;200795
CP001824;2057;2056;85002;85001;189775;200795
CP001827;61435;61434;1202464;1202465;301297;200795
CP001924;61435;61434;1202464;1202465;301297;200795
CP002084;;;552810;670486;301297;200795
CP004079;61435;61434;1202464;1202465;301297;200795
CP004080;61435;61434;1202464;1202465;301297;200795
AE006641;2287;2100760;118883;2281;183924;28889
AE009441;13773;2276;2267;2266;183924;28889
BA000002;56636;56635;2272;114380;183924;28889
BA000023;111955;69655;118883;2281;183924;28889
CP000077;2285;2284;118883;2281;183924;28889
CP000493;54248;54247;2307;114380;183924;28889
CP000504;2277;2276;2267;2266;183924;28889
CP000505;2269;2268;114378;2266;183924;28889
CP000561;181486;2276;2267;2266;183924;28889
CP000575;2280;2279;2272;114380;183924;28889
CP000660;121277;2276;2267;2266;183924;28889
CP000682;43687;41980;118883;2281;183924;28889
CP000816;160233;54258;2272;114380;183924;28889
CP000852;76887;76886;2267;2266;183924;28889
CP001014;70771;2276;2267;2266;183924;28889
CP001140;94694;2273;2272;114380;183924;28889
CP001399;43080;2284;118883;2281;183924;28889
CP001400;43080;2284;118883;2281;183924;28889
CP001401;43080;2284;118883;2281;183924;28889
CP001402;43080;2284;118883;2281;183924;28889
CP001403;43080;2284;118883;2281;183924;28889
CP001404;43080;2284;118883;2281;183924;28889
CP001731;43080;2284;118883;2281;183924;28889
CP001742;242703;105850;871007;871006;183924;28889
CP001800;2287;2100760;118883;2281;183924;28889
CP001939;54254;54253;2272;114380;183924;28889
CP002051;84599;2279;2272;114380;183924;28889
CP002098;334771;334767;2272;114380;183924;28889
CP002100;164451;164450;2267;2266;183924;28889
CP002363;2275;2273;2272;114380;183924;28889
CP002425;43080;2284;118883;2281;183924;28889
CP002426;43080;2284;118883;2281;183924;28889
CP002529;985052;164450;2267;2266;183924;28889
CP002535;563177;12914;118883;2281;183924;28889
CP002590;184117;2270;2267;2266;183924;28889
CP002656;1006005;41980;118883;2281;183924;28889
CP002817;2285;2284;118883;2281;183924;28889
CP002818;2285;2284;118883;2281;183924;28889
CP002838;54252;54251;2307;114380;183924;28889
CP003098;1104324;2276;2267;2266;183924;28889
CP003316;99007;2276;2267;2266;183924;28889
CP003321;94694;2273;2272;114380;183924;28889
CP003378;200415;200414;255472;871006;183924;28889
CP003423;683846;685950;685949;685948;183924;28889
CP003531;1200300;477695;2272;114380;183924;28889
CP003928;43080;2284;118883;2281;183924;28889
FN869859;2271;2270;2267;2266;183924;28889
AE017126;;1219;1218;1213;1890424;1117
AP008231;;32046;1129;1890426;1890424;1117
AP009552;;1126;1125;1890449;1118;1117
AP011615;;118562;35823;1892252;1150;1117
AP012205;;1148;1142;1890428;1890424;1117
AP012276;;1148;1142;1890428;1890424;1117
AP012277;;1148;1142;1890428;1890424;1117
AP012278;;1148;1142;1890428;1890424;1117
AP012495;1423;1386;186817;1385;91061;1239
BA000019;;103690;1177;1162;1161;1117
BA000022;;1148;1142;1890428;1890424;1117
BA000039;;146786;146785;1890426;1890424;1117
BA000045;33072;33071;1890422;307595;307596;1117
BX548020;;84588;1129;1890426;1890424;1117
BX548174;;1219;1218;1213;1890424;1117
BX548175;;1219;1218;1213;1890424;1117
CP000095;;1219;1218;1213;1890424;1117
CP000097;;316279;1129;1890426;1890424;1117
CP000100;;32046;1129;1890426;1890424;1117
CP000110;;110662;1129;1890426;1890424;1117
CP000111;;1219;1218;1213;1890424;1117
CP000117;;264691;264688;1162;1161;1117
CP000239;;321327;1129;1890426;1890424;1117
CP000240;;321332;1129;1890426;1890424;1117
CP000393;;1206;1205;1892252;1150;1117
CP000435;;64471;1129;1890426;1890424;1117
CP000551;;1219;1218;1213;1890424;1117
CP000552;;1219;1218;1213;1890424;1117
CP000553;;1219;1218;1213;1890424;1117
CP000554;;1219;1218;1213;1890424;1117
CP000576;;1219;1218;1213;1890424;1117
CP000806;;43989;263510;1890450;1118;1117
CP000825;;1219;1218;1213;1890424;1117
CP000828;;155978;155977;1890429;1890424;1117
CP000878;;1219;1218;1213;1890424;1117
CP000951;;32049;1129;1890426;1890424;1117
CP001037;;272131;1177;1162;1161;1117
CP001287;;41431;2546365;1890450;1118;1117
CP001291;;65393;28070;1890450;1118;1117
CP001344;;395961;43988;1892249;1150;1117
CP001701;;395962;2546365;1890450;1118;1117
CP001842;;713887;1453359;1890450;1118;1117
CP002059;;1164;264688;1162;1161;1117
CP002198;;497965;28070;1890450;1118;1117
CP003265;;1148;1142;1890428;1890424;1117
CP003495;;59930;167375;1890426;1890424;1117
CP003548;;317936;1177;1162;1161;1117
CP003549;;373994;373984;1185;1161;1117
CP003552;;28072;1177;1162;1161;1117
CP003558;;195253;1129;1890426;1890424;1117
CP003590;;54308;44474;1890500;52604;1117
CP003591;;1173025;63132;1892251;1150;1117
CP003592;;82654;1152;1890436;1890424;1117
CP003594;;1173263;1129;1890426;1890424;1117
CP003597;;54299;54298;1890528;1890505;1117
CP003600;;1173032;217161;1890431;1890424;1117
CP003607;;118323;1158;1892254;1150;1117
CP003610;;32054;1186;2661849;1161;1117
CP003614;;482564;1158;1892254;1150;1117
CP003620;;241425;241421;1892255;1150;1117
CP003630;;1173027;44471;1892252;1150;1117
CP003642;;142864;56106;1162;1161;1117
CP003646;;1173026;102231;1890464;1118;1117
CP003653;;102116;102115;1890498;52604;1117
CP003659;;1165;1163;1162;1161;1117
CP003940;;102235;102234;1890452;1118;1117
CP003943;;99598;1186;2661849;1161;1117
CP003944;;292566;13034;1890426;1890424;1117
CP003945;;65093;76023;1890450;1118;1117
CP003946;;111781;47251;1890438;1890424;1117
CP003947;;379064;102234;1890452;1118;1117
CT971583;;32051;1129;1890426;1890424;1117
CT978603;;316278;1129;1890426;1890424;1117
AP009510;;;;;167965;74152
CP001055;423605;423604;641876;641854;641853;74152
AE000666;145262;145260;2159;2158;183925;28890
AE004437;2242;2239;2236;2235;183963;28890
AE009950;2261;2260;2259;2258;183968;28890
AE010299;2214;2207;2206;94695;224756;28890
AE017261;82076;46631;46630;2301;183967;28890
AM114193;1175445;570266;570265;570264;224756;28890
AM180088;293091;293431;1644056;1644055;183963;28890
AP006878;311400;2263;2259;2258;183968;28890
AP011532;570267;570266;570265;570264;224756;28890
AY596297;2238;2237;1963268;2235;183963;28890
BA000001;53953;2260;2259;2258;183968;28890
CP000099;2208;2207;2206;94695;224756;28890
CP000254;2203;2202;196137;2191;224756;28890
CP000559;83984;2192;88404;2191;224756;28890
CP000743;42879;2184;2183;2182;183939;28890
CP000780;358766;395331;1198451;2191;224756;28890
CP000855;342948;2263;2259;2258;183968;28890
CP001365;2247;56688;1963271;1644055;183963;28890
CP001398;187878;2263;2259;2258;183968;28890
CP001696;83171;196118;196117;2182;183939;28890
CP001710;145263;145260;2159;2158;183925;28890
